Side Item,Mean,Median,Std Dev,% Likely,% Definitely,% Unlikely,N,Rank
Garlic knots/bread,3.5534591194968552,4.0,1.2203330046776366,65.40880503144653,20.754716981132077,20.754716981132077,159,1
Wings,3.2264150943396226,4.0,1.4272418665361184,52.83018867924528,20.754716981132077,30.18867924528302,159,2
Mozzarella sticks,2.7861635220125787,3.0,1.304154898165003,38.36477987421384,6.918238993710692,42.76729559748428,159,3
Fries,1.930817610062893,1.0,1.2382076514229563,17.61006289308176,4.40251572327044,75.47169811320755,159,4
Cheesecake,1.930817610062893,1.0,1.2018945848557787,16.9811320754717,1.8867924528301887,71.0691823899371,159,5
Onion rings,1.8930817610062893,1.0,1.1615746349302463,15.09433962264151,0.628930817610063,69.81132075471697,159,6
Salad,1.7924528301886793,1.0,1.037740191492749,10.062893081761008,0.628930817610063,76.72955974842768,159,7
Fried calamari,1.729559748427673,1.0,1.106285463373185,10.69182389937107,2.515723270440252,77.9874213836478,159,8
Bruschetta,1.5345911949685536,1.0,0.9398348509236015,6.289308176100629,0.628930817610063,83.01886792452831,159,9
Stuffed mushrooms,1.4394904458598725,1.0,0.8648223444200163,5.095541401273886,0.0,85.35031847133759,157,10
